product_id,category,brand,condition,price,seller_reputation,description,suspected_fraud
26,Clothing,Adidas,New,75.0,4,Brand new Adidas running shorts,True
26,Electronics,Apple,New,1299.99,2,Brand new Apple iPhone 14 Pro with 256GB storage,False
26,Furniture,Joybird,used,1200.0,5,Stylish Joybird mid-century modern sofa with plush cushions.,False
26,Furniture,IKEA,used,350.0,4,Brand new IKEA Hemnes dresser with 6 drawers.,False
26,Furniture,West Elm,New,3200.0,3,Brand new West Elm mid-century dining table in walnut finish.,True
26,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes,False
101,Electronics,Apple,used,1299.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False
26,Electronics,Apple,New,999.99,3,Brand new Apple iPhone 13 Pro with 256GB storage,False
26,Clothing,Adidas,used,75.0,4,Brand new Adidas UltraBoost running shoes,True
26,Furniture,Article,New,1450.0,5,Stylish new Article Avasan dining table with a modern design.,True
26,Furniture,SofaCo,New,1750.0,5,Brand new SofaCo luxury sectional couch with customizable fabric.,True
26,Electronics,LG,New,1200.0,3,"Brand new LG OLED55CXPUA Alexa Built-In OLED TV, 55-Inch",False
26,Furniture,SofaCo,New,1750.0,4,Brand new SofaCo L-shaped sectional couch in grey fabric.,False
26,Furniture,West Elm,used,1250.0,1,"Brand new West Elm mid-century dining table, seats 6.",False
26,Clothing,Adidas,New,120.0,2,Brand new Adidas Ultraboost running shoes,True
26,Furniture,West Elm,New,1350.0,4,"Brand new West Elm mid-century dining chair set, perfect for modern dining rooms.",False
26,Furniture,Joybird,New,1450.0,1,Stylish Joybird modern loveseat in vibrant teal fabric.,False
26,Electronics,Apple,used,1299.99,4,Brand new Apple iPhone 14 Pro Max with 256GB storage,False
26,Clothing,Adidas,used,85.0,1,"Brand new Adidas Ultraboost running shoes, size 10",False
26,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 128GB storage,False
26,Clothing,Adidas,New,120.0,5,Brand new Adidas UltraBoost running shoes,False
26,Electronics,Apple,New,1299.99,1,Brand new Apple iPhone 14 Pro with 128GB storage,True
26,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes in size 10.,True
26,Furniture,Simplicity,used,1250.0,5,"Brand new Simplicity modern dining table, seats up to 8.",True
26,Electronics,Apple,New,1399.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False
26,Furniture,West Elm,used,3200.0,5,Sleek and modern West Elm mid-century dining table made from solid wood.,False
26,Clothing,Adidas,New,120.0,4,Brand new Adidas Ultraboost running shoes,False
26,Electronics,Dell,New,1200.0,3,Brand new Dell XPS 13 with Intel i7 processor and 16GB RAM,False
26,Furniture,West Elm,used,3500.0,5,"Brand new West Elm mid-century dining table, seats 8.",False
26,Furniture,Article,used,1350.0,4,"Brand new Article Sven grass green sofa, perfect for modern living rooms.",False
26,Clothing,Adidas,used,90.0,2,Brand new Adidas Ultraboost running shoes in size 10.,True
26,Furniture,Simplicity,New,3500.0,1,"Brand new Simplicity handcrafted oak dining table, seats up to 8.",True
26,Electronics,Dell,New,1350.0,2,Brand new Dell XPS 13 laptop with Intel i7 and 16GB RAM,True
26,Furniture,Rove Concepts,New,3200.0,3,"Elegant Rove Concepts Scandinavian dining table, perfect for modern homes.",False
26,Clothing,H&M,New,45.0,5,Brand new H&M casual summer dress in multiple sizes.,False
26,Furniture,West Elm,New,1800.0,3,Brand new West Elm mid-century dining table with 6 chairs.,False
26,Furniture,West Elm,used,3200.0,2,Brand new West Elm mid-century modern dresser with 6 drawers.,True
26,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes,False
26,Furniture,SofaCo,New,2400.0,2,Brand new SofaCo luxury leather sectional with chaise lounge.,False
26,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 14 Pro Max with 256GB storage,True
26,Electronics,LG,New,1200.0,5,Brand new LG OLED TV with 55-inch display,False
26,Furniture,West Elm,New,1750.0,3,"Brand new West Elm mid-century dining table, seats up to 8.",False
26,Furniture,Rove Concepts,New,1450.0,5,Brand new Rove Concepts dining table made from solid wood,False
26,Electronics,LG,used,1399.99,3,Brand new LG OLED55CXPUA Alexa Built-In 55-Inch 4K Smart OLED TV,True
26,Clothing,Nike,New,120.0,4,Brand new Nike Air Max 270 sneakers,True
