user_id,product_id,rating,timestamp
Sure, here's a Python script that generates the specified synthetic dataset:,,
,,,
```python,,,
import csv,,,
import random,,,
from datetime import datetime, timedelta,,
,,,
# Function to generate a random datetime within the past year,,,
def random_date():,,,
    start_date = datetime.now() - timedelta(days=365),,,
    end_date = datetime.now(),,,
    return start_date + (end_date - start_date) * random.random(),,,
,,,
# Generating the data,,,
data = [],,,
for _ in range(1000):,,,
    user_id = random.randint(1, 1000),,
    product_id = random.randint(1, 500),,
    rating = random.randint(1, 5),,
    timestamp = random_date().strftime('%Y-%m-%d %H:%M:%S'),,,
    data.append([user_id, product_id, rating, timestamp])
,,,
# Writing the data to a CSV file,,,
with open('synthetic_data.csv', 'w', newline='') as file:,
    writer = csv.writer(file),,,
    writer.writerows(data),,,
```,,,
,,,
You can run this script in your Python environment. It will create a file named `synthetic_data.csv` with 1000 rows of data following the format you specified, without a header.,,
